month,year,mainVolume,mainValue,bigLotVolume,bigLotValue,Trading Vol of Total Market,Trading Val of Total Market,Month-Year
1,2023,80859906.38,142160453.64,11960506.28,25803304.57,92820412.66,167963758.20999998,2023-01
2,2023,100621294.14,170439166.46,12917504.68,29851393.08,113538798.82,200290559.54000002,2023-02
3,2023,104395300.7,181714891.95,13944524.47,29060765.09,118339825.17,210775657.04,2023-03
4,2023,116160082.29,195272966.39,12087589.11,27153889.63,128247671.4,222426856.01999998,2023-04
5,2023,128576000.15,212592098.16,13658737.76,31527489.66,142234737.91,244119587.82,2023-05
6,2023,177146056.3,332422743.98,15906578.16,39145936.05,193052634.46,371568680.03000003,2023-06
7,2023,169617028.88,349170669.95,14242606.22,34490727.31,183859635.1,383661397.26,2023-07
8,2023,212843579.92,469120664.54,15998433.15,38524078.53,228842013.07,507644743.07000005,2023-08
9,2023,169752364.11,404315586.16,14122364.08,38353418.17,183874728.19000003,442669004.33000004,2023-09
10,2023,126650495.07,287266073.23,11045489.63,27009934.49,137695984.7,314276007.72,2023-10
11,2023,150351082.06,328025993.47,15834549.03,36464449.81,166185631.09,364490443.28000003,2023-11
12,2023,127369898.38,284947777.94,18412333.67,50205104.97,145782232.05,335152882.90999997,2023-12
1,2024,145508461.49,330594402.78,14254066.84,33091120.83,159762528.33,363685523.60999995,2024-01
2,2024,123786579.04,305130565.51,10857597.92,25717742.78,134644176.96,330848308.28999996,2024-02
3,2024,193725481.25,509749029.79,17837587.49,46666701.28,211563068.74,556415731.07,2024-03
4,2024,144487236.14,367128546.76,15730423.06,38993762.64,160217659.2,406122309.4,2024-04
5,2024,156346458.35,413051167.41,25534577.04,62023250.86,181881035.39,475074418.27000004,2024-05
6,2024,143595066.23,392973146.22,27885759.53,65306936.04,171480825.76,458280082.26000005,2024-06
7,2024,131460126.74,347258536.4,14227235.35,40266183.19,145687362.09,387524719.59,2024-07
8,2024,127793145.63,322518034.89,15143885.48,39969421.41,142937031.10999998,362487456.29999995,2024-08
9,2024,102004427.44,258313019.77,20263519.2,44135931.94,122267946.64,302448951.71000004,2024-09
10,2024,126481780.98,322543052.11,17391028.86,44334596.6,143872809.84,366877648.71000004,2024-10
11,2024,98462165.62,255495005.12,16059220.48,41786787.06,114521386.10000001,297281792.18,2024-11
12,2024,103062716.58,257920348.33,24209610.64,61862696.06,127272327.22,319783044.39,2024-12
1,2025,64721903.69,160627828.12,11317885.31,32108622.11,76039789.0,192736450.23000002,2025-01
2,2025,119854028.37,285614521.85,12000599.6,30038575.91,131854627.97,315653097.76000005,2025-02
3,2025,160312971.8,380079715.07,24101806.25,56847155.35,184414778.05,436926870.42,2025-03
4,2025,185742581.57,426014428.29,15197497.99,40183115.69,200940079.56,466197543.98,2025-04
5,2025,171341654.35,396499342.24,13522454.91,36624819.95,184864109.26,433124162.19,2025-05
6,2025,164368926.31,391091455.98,18690686.59,49006823.41,183059612.9,440098279.39,2025-06
7,2025,310950952.79,753160943.7,16253871.19,51686838.34,327204823.98,804847782.0400001,2025-07
8,2025,350244271.99,976579341.2,18533892.67,64107924.67,368778164.66,1040687265.87,2025-08
9,2025,214610510.77,621451428.58,18857354.52,58697413.1,233467865.29000002,680148841.6800001,2025-09
10,2025,230689175.26,712118175.46,14916053.28,59511660.49,245605228.54,771629835.95,2025-10
11,2025,138764316.57,399549576.85,15105636.23,55005426.33,153869952.79999998,454555003.18,2025-11
12,2025,150546001.21,447607428.61,27126329.36,95824262.71,177672330.57,543431691.32,2025-12
